岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
5G通信测试工程师,12-24K·13薪,3-5年，本科,广州·天河区·员村,定期体检，五险一金，年终奖，加班补助，零食下午茶，年底双薪，节日福利，带薪年假，员工旅游,世炬网络,通信/网络设备，C轮，100-499人,功能测试，性能测试，自动化测试
系统集成测试工程师,11-20K,1-3年，硕士,武汉·江夏区·光谷东,免费班车，住房补贴，定期体检，节日福利，员工旅游，带薪年假，股票期权，五险一金，补充医疗保险，餐补，年终奖,武汉联影,医疗设备/器械，不需要融资，1000-9999人,硬件测试，性能测试，系统测试，Android，iOS，功能测试
自动驾驶仿真资深测试工程师,15-20K·14薪,1-3年，本科,苏州,免费停车，定期体检，健身房，交通补助，年终奖，意外险，补充医疗保险，通讯补贴，带薪年假，生日福利，有无线网，绩效奖金，餐补，工龄奖，五险一金，高温补贴，篮球场，篮球场,清华汽研院,汽车零部件，不需要融资，100-499人,LabView，prescan，carsim，simulink
车载以太网测试工程师,7-10K,1-3年，本科,沈阳·浑南区·白塔,零食下午茶，通讯补贴，餐补，节日福利，五险一金，带薪年假，年终奖，股票期权,东信创智,汽车零部件，未融资，100-499人,功能测试，性能测试，自动化测试，Python，C++
嵌入式软件测试工程师,8-12K·13薪,1-3年，本科,北京·朝阳区·小营,五险一金，带薪年假，员工旅游，年终奖,云海商通,计算机软件，未融资，20-99人,嵌入式测试，Java，C++，计算机相关专业，通信相关专业
分析仪器测试工程师,4-6K,1-3年，大专,石家庄·裕华区·开发区,,优谱通用,仪器仪表/工业自动化，20-99人,功能测试，性能测试，系统测试
测试工程师/售后技术支持工程师,4-8K,1-3年，中专/中技,嘉兴,全勤奖，年终奖，节日福利,费莱,机械设备/机电/重工，100-499人,性能测试
嵌入式软件测试工程师,10-15K·15薪,3-5年，本科,合肥·蜀山区·高新区,绩效奖金，节日福利，员工旅游，交通补助，员工宿舍，包住，免费班车，节假日加班费，定期体检，加班补助，年终奖，通讯补贴，团建聚餐，五险一金，补充医疗保险，工龄奖，餐补，包吃，宿舍有空调，带薪年假,阳光电源股份有限公司,新能源，已上市，1000-9999人,通信相关专业，测试工作经验，嵌入式测试
无人驾驶测试工程师,6-9K,经验不限，本科,乌兰察布·四子王旗·文化路,意外险，法定节假日三薪，工龄奖，年终奖，全勤奖，定期体检，补充医疗保险，包住,鸿安达,计算机软件，未融资，20-99人,计算机相关专业，通信相关专业，无人驾驶，Linux，矿卡
测试工程师-营销系统-P6516R,15-20K·15薪,3-5年，本科,武汉·洪山区·花山,节日福利，住房补贴，入职补贴2k，免费班车，年终奖，五险一金，加班补助，包吃，零食下午茶，员工旅游，重大消息，带薪年假，股票期权，全勤奖，游泳池，交通补助，补充医疗保险，餐补，定期体检，通讯补贴,美的,其他行业，已上市，10000人以上,五险一金，管理规范，餐费贴补，岗位晋升
总部-测试工程师（电气专业应届生）,7-10K·14薪,经验不限，本科,厦门·集美区·侨英,年终奖，员工旅游，免费班车，带薪年假，补充医疗保险，定期体检，五险一金，加班补助，包吃,宏发股份,仪器仪表/工业自动化，未融资,功能测试，性能测试
调试工程师,5-10K,经验不限，大专,银川·金凤区·新城,包吃，节日福利，年终奖，加班补助，五险一金，餐补，定期体检,小牛自动化,新能源，1000-9999人,自动化测试，性能测试
软件测试工程师,7-12K,1-3年，大专,宿迁,绩效奖金，生日福利，节日福利，工龄奖，年终奖，定期体检，零食下午茶，五险一金，股票期权，带薪年假，员工旅游,江苏联康信息股份...,电子/半导体/集成电路，A轮，100-499人,C++
软件测试工程师,15-25K·15薪,5-10年，本科,宁波·鄞州区·梅墟,五险一金，定期体检，交通补助，年终奖，住房补贴，带薪年假，团建聚餐，意外险，员工旅游，节日福利，餐补，通讯补贴，生日福利，免费工装,均胜新能源研究院,汽车零部件，100-499人,掌握软件测试理论和流程，测试工作经验
软件测试工程师,10-15K,3-5年，本科,北京·海淀区·五道口,五险一金，定期体检，带薪年假，节日福利,正和恒基,工程施工，未融资，500-999人,自动化测试，性能测试，功能测试，黑盒测试
软件测试工程师,9-14K,1-3年，本科,北京·海淀区·人民大学,餐补，节日福利，补充医疗保险，生日福利，五险一金，定期体检，带薪年假，员工旅游，年终奖，意外险，零食下午茶,中科江南,计算机软件，已上市，1000-9999人,自动化测试，性能测试，Oracle，功能测试，接口测试，Linux
软件测试工程师,11-16K·14薪,3-5年，本科,杭州·滨江区·江南,股票期权，住房补贴，节日福利，带薪年假，员工旅游，定期体检，交通补助，餐补，补充医疗保险，五险一金，年终奖，通讯补贴,浙江大华,计算机软件，已上市，1000-9999人,Python，计算机相关专业，测试工作经验
软件测试工程师,8-12K·15薪,经验不限，本科,深圳·光明区·公明,员工旅游，补充医疗保险，加班补助，节日福利，年终奖，五险一金，全勤奖，带薪年假,科曼医疗,医疗健康，不需要融资，1000-9999人,功能测试，性能测试，计算机相关专业，测试工作经验
软件测试工程师,10-13K,3-5年，大专,保定·莲池区·长城学院,通讯补贴，定期体检，免费班车，节日福利，零食下午茶，补充医疗保险，交通补助，加班补助，带薪年假，生日福利，五险一金，团建活动,软通动力,计算机软件，已上市，10000人以上,Python，接口自动化测试，UI自动化测试，测试开发
软件测试工程师,20-30K·16薪,5-10年，本科,北京·大兴区·亦庄,零食下午茶，补充医疗保险，员工旅游，节日福利，年终奖，包吃，定期体检，五险一金，股票期权，免费班车，带薪年假，餐补，交通补助,京东集团,电子商务，已上市，10000人以上,接口测试，性能测试，自动化测试，功能测试，Linux，Shell
软件测试工程师,7-10K,在校/应届，硕士,菏泽,生日福利，加班补助，免费工装，员工旅游，五险一金，交通补助，包住，团建聚餐，宿舍有空调，包吃，节假日加班费，定期体检,精进电动,汽车零部件，未融资，500-999人,C语言，Simulink，Polyspace
软件测试工程师,13-17K,1-3年，本科,深圳·罗湖区·园岭,节日福利，零食下午茶，五险一金，带薪年假,博奥特,移动互联网，不需要融资，500-999人,MySQL，JMeter，Linux，Jmeter
软件测试工程师,4-6K,1-3年，本科,桂林,生日福利，节日福利，有无线网，五险一金，团建聚餐，带薪年假，绩效奖金，全勤奖，零食下午茶，定期体检，股票期权，加班补助，员工旅游，年终奖,金铱星科技,计算机软件，天使轮，0-20人,性能测试，测试开发，软件测试
软件测试工程师,4-8K,3-5年，本科,南宁·西乡塘区·高新区,,咪付(广西),互联网，A轮，20-99人,自动化测试，软件测试
软件测试工程师,9-14K,1-3年，大专,杭州·西湖区·黄龙,餐补，周末双休，带薪年假，定期体检，专属核酸检测，交通补助，领导nice，节日福利，零食下午茶，五险一金，加班补助，年终奖，员工旅游，扁平化管理，绩效奖金，偶尔加班,InShot影笑,移动互联网，不需要融资，100-499人,功能测试经验，掌握软件测试理论和流程，APP测试，测试用例
调试工程师,6-11K·13薪,1-3年，本科,成都·郫都区·高新西,交通补助，带薪年假，住房补贴，年终奖，餐补，通讯补贴，五险一金，全勤奖，节日福利，股票期权，定期体检,奇径科技,电子/半导体/集成电路，未融资，0-20人,功能测试，压力测试，性能测试，测试工作经验，AC/DC
软件测试,10-15K·15薪,3-5年，本科,杭州·滨江区·长河,带薪年假，餐补，补充医疗保险，交通补助，节假日礼品，加班补助，通讯补贴，定期体检，节日福利，免费班车，实习生提供住，员工旅游，年终奖，五险一金,聚光科技,仪器仪表/工业自动化，已上市,测试工程师，软件测试，系统测试，容器技术
软件测试,6-11K,经验不限，本科,南京·江宁区·禄口机场,,租房配,计算机服务，0-20人,Java，MySQL，REST Assured，计算机相关专业
软件测试,4-6K,经验不限，大专,大连·甘井子区·高新园区,,仁源计算机,计算机软件，20-99人,功能测试，性能测试，自动化测试
软件测试,5-6K,1-3年，大专,武汉·汉阳区·琴台,,湖北一颗麦穗信息技术,移动互联网，未融资，20-99人,软件测试，接口测试
软件测试,8-12K,3-5年，大专,杭州·余杭区·五常,五险一金，节日福利，定期体检，补充医疗保险，带薪年假,武汉佰钧成技术,计算机软件，不需要融资，1000-9999人,功能测试，性能测试，自动化测试，Python，Java，Shell
软件测试,6-10K,1-3年，本科,苏州·吴中区,,量子方舟,计算机软件，未融资，20-99人,软件测试
软件测试,15-25K,3-5年，本科,长沙·岳麓区·麓谷,年终奖，员工旅游，股票期权，餐补，定期体检，零食下午茶，补充医疗保险，加班补助，节日福利，五险一金,华为,计算机软件，不需要融资，10000人以上,功能测试，自动化测试
软件测试,10-15K·13薪,3-5年，本科,深圳·南山区·前海,加班补助，五险一金，带薪年假，补充医疗保险，节日福利，定期体检,亿达信息,计算机软件，不需要融资，1000-9999人,自动化测试，Selenium，JMeter，Postman
软件测试,10-14K,3-5年，本科,南京·玄武区·徐庄软件园,五险一金，加班补助，年终奖，带薪年假，餐补，节日福利，通讯补贴，交通补助,苏宁易购,电子商务，已上市，10000人以上,接口测试，功能测试，系统测试，接口自动化测试，软件测试
软件测试,12-18K·13薪,3-5年，本科,上海,零食下午茶，员工旅游，五险一金，加班补助，带薪年假，年终奖,驿氪EZR,移动互联网，B轮，100-499人,自动化测试，功能测试，性能测试，Python，Postman
软件测试,5-8K,3-5年，大专,济宁·泗水县·泗水县中心城区,五险一金，带薪年假,数聚医疗,医疗设备/器械，0-20人,功能测试，性能测试，压力测试，计算机相关专业
软件测试,4-5K,经验不限，大专,上海·浦东新区·张江,通讯补贴，五险一金，住房补贴，带薪年假，定期体检，年终奖，免费班车，餐补，零食下午茶，补充医疗保险，节日福利，员工旅游，交通补助,传音控股,通信/网络设备，已上市，10000人以上,功能测试，性能测试，自动化测试，JMeter，LoadRunner
软件测试,7-10K·13薪,1-3年，本科,福州·晋安区·茶园,,鑫晟隆,计算机硬件，100-499人,功能测试
软件测试实习生,150-200元/天,4天/周，本科,上海·浦东新区·张江,五险一金，定期体检，年终奖，带薪年假,上讯信息技术,计算机软件，未融资，500-999人,MySQL，Linux，Oracle
软件测试实习生,3-5K,经验不限，大专,上海·浦东新区·金桥,零食下午茶，带薪年假，节日福利，交通补助，年终奖，包吃，五险一金，定期体检，免费班车，全勤奖，住房补贴，股票期权，餐补，员工旅游，加班补助，通讯补贴,本安数字科技有限公司,仪器仪表/工业自动化，未融资，100-499人,软件测试
银行软件测试、测试开发（2024年校招）,5-6K,在校/应届，本科,济南·历城区·汉峪金谷,定期体检，加班补助，五险一金，补充医疗保险，带薪年假，节日福利,龙盈智达,互联网金融，不需要融资，1000-9999人,功能测试，自动化测试
软件测试开发工程师,15-30K·14薪,1-3年，本科,深圳·龙岗区·坂田,离职补偿，节日福利，五险一金，补充医疗保险，通讯补贴，年终奖，全勤奖，员工旅游，定期体检，带薪年假，股票期权，零食下午茶，免费班车，加班补助，住房补贴，餐补，交通补助,华为技术有限公司,计算机软件，不需要融资，10000人以上,云计算
软件测试工程师(L5838),11-20K·14薪,3-5年，本科,杭州·萧山区·北干,股票期权，通讯补贴，年终奖，交通补助，餐补，带薪年假，员工旅游，零食下午茶，五险一金，节日福利，定期体检,一知智能,互联网，B轮，100-499人,计算机相关专业，视频直播，外呼语音
高级软件测试工程师,20-25K·14薪,5-10年，本科,深圳·南山区·南头,五险一金，绩效奖金，零食下午茶，股票期权，带薪年假，年终奖，定期体检，员工旅游，节日福利,昂楷科技,信息安全，C轮，100-499人,Shell，SQL，Linux，Oracle，游戏测试
软件测试工程师（珠海）,6-11K,1-3年，大专,珠海·香洲区·唐家湾,交通补助，餐补，年终奖，五险一金，通讯补贴，定期体检，带薪年假，节日福利,赞同科技,计算机软件，C轮，1000-9999人,软件测试，自动化测试
（初级）软件测试自动化开发工程师,6-8K,1-3年，本科,广州·天河区·冼村,零食下午茶，定期体检，年终奖，加班补助，五险一金,云岫科技,互联网，未融资，20-99人,自动化测试，测试开发，软件测试
软件测试工程师（上海）-W21-001(J11878),18-35K·14薪,3-5年，本科,上海·嘉定区·华亭,定期体检，餐补，节日福利，五险一金，公租房，年终奖，股票期权，带薪年假，员工旅游，补充医疗保险，免费班车,上海联影,医疗设备/器械，B轮，1000-9999人,自动化测试，测试开发，Python，C/C++
测试工程师,10-15K,3-5年，本科,大连·甘井子区·高新园区,法定节假日三薪，节假日加班费，节日福利，通讯补贴，带薪年假，免费工装，定期体检，五险一金，餐补，股票期权，年终奖，团建聚餐，交通补助,智达科技,计算机软件，未融资，500-999人,Java，Oracle，MySQL，软件测试，Jmeter，LoadRunner
测试工程师,8-13K,3-5年，本科,上海,股票期权，节日福利，年终奖，五险一金，通讯补贴，餐补,北京九思金信,计算机软件，天使轮，20-99人,软件测试，测试工程师，银行测试，计算机软件，ERP
测试工程师,7-8K·14薪,1-3年，本科,武汉·洪山区·光谷,员工旅游，绩效奖金，年终奖，餐补，节日福利，零食下午茶，全勤奖，股票期权，五险一金，定期体检，补充医疗保险，通讯补贴，团建聚餐，带薪年假,康博嘉,计算机软件，D轮及以上，100-499人,Oracle，MySQL，软件测试
测试工程师,15-20K,3-5年，本科,上海·青浦区·青浦城区,五险一金，补充医疗保险，带薪年假，节日福利，零食下午茶，股票期权，员工旅游，年终奖，定期体检，免费班车，餐补,甄知科技,计算机软件，A轮，20-99人,SQL，软件测试，Postman，PC测试，服务端测试
测试工程师,8-13K,1-3年，本科,成都·双流区·广都,股票期权，定期体检，节日福利，零食下午茶，加班补助，带薪年假，五险一金,玖锦科技,通信/网络设备，B轮，100-499人,自动化测试，Python，C#
测试工程师,12-20K·14薪,3-5年，本科,广州·天河区·小新塘,,广州凯媒 casa,通信/网络设备，100-499人,通信，5G，LTE，3GPP
测试工程师,11-20K·14薪,3-5年，本科,南京·建邺区·西善桥,有无线网，生日福利，法定节假日三薪，团建聚餐，交通补助，意外险，节日福利,中盈优创,计算机软件，未融资，1000-9999人,Python，Shell，Linux，Oracle，自动化测试，性能测试
测试工程师,6-10K,1-3年，本科,合肥·蜀山区·高新区,餐补，节日福利，年终奖，五险一金，员工旅游，股票期权,安赛思(ASUNX),电子/半导体/集成电路，未融资，20-99人,示波器，信号发生器，可靠性测试，射频测试，PCB
测试工程师2,5-10K·13薪,经验不限，本科,湘潭·岳塘区·河东大道,五险一金，零食下午茶，年终奖，员工食堂，定期体检，免费班车，通讯补贴，带薪年假，节日福利，住房补贴，员工旅游，交通补助，股权激励,时变通讯,通信/网络设备，B轮，100-499人,自动化测试经验，软件测试
测试工程师,10-15K,3-5年，本科,上海,五险一金，带薪年假，定期体检，零食下午茶，年终奖，团建活动，股票期权，节日福利,慧拾智能,计算机服务，天使轮，20-99人,测试，自动化测试，测试工程师
测试工程师,13-18K·13薪,3-5年，本科,广州·天河区·珠江新城,五险一金，餐补，加班补助，股票期权，交通补助，员工旅游，年终奖，节日福利，带薪年假，全勤奖，定期体检，零食下午茶,双龙互娱,移动互联网，不需要融资，100-499人,自动化测试，接口测试，安全测试，移动端自动化测试，Linux
测试工程师,12-18K·13薪,3-5年，大专,无锡·新吴区·无锡硕放国际机场,,无锡深南电路有限公司,电子/半导体/集成电路，1000-9999人,ICT，FCT
测试工程师,3-5K,经验不限，中专/中技,深圳·宝安区·西乡,员工旅游，补充医疗保险，定期体检，全勤奖，五险一金，带薪年假，年终奖，股票期权,迈贝尔,互联网，未融资，0-20人,示波器，万用表，信号发生器，逻辑分析仪
潍坊初屹科技有限公司招聘手机维修,4-8K,经验不限，中专/中技,潍坊·潍城区·中百,,潍坊初屹科技有限公司,检测/认证，20-99人,保底工资，包吃
测试工程师,12-19K,1-3年，本科,上海·浦东新区·张江,节日福利，年终奖，五险一金，股票期权，免费班车，通讯补贴，定期体检，补充医疗保险，带薪年假,施耐德电气,其他行业，已上市，10000人以上,电池/电源类，智能硬件类，光电器件类，硬件测试经验
应用测试工程师,7-10K,在校/应届，本科,深圳·宝安区·石岩,带薪培训，节日福利，带薪年假，定期体检，全勤奖，通讯补贴，五险一金，员工旅游，加班补助，出差补贴，绩效奖，年终奖,劲鑫科技,仪器仪表/工业自动化，A轮，100-499人,自动化测试经验，继电器，模电/数电，通信相关专业
ATE测试工程师,20-30K·13薪,3-5年，本科,北京·海淀区·五道口,员工旅游，住房补贴，加班补助，包吃，全勤奖，交通补助，定期体检，五险一金，补充医疗保险，餐补，年终奖，股票期权，通讯补贴，零食下午茶，节日福利，带薪年假,升宇科技,电子/半导体/集成电路，不需要融资,电子半导体，ATE，集成电路，消费电子，硬件
RF测试工程师,4-7K·13薪,1-3年，大专,深圳·南山区·科技园,五险一金，年终奖，餐补，交通补助，补充医疗保险，带薪年假，定期体检，免费班车，加班补助，节日福利,必维国际检验集团,企业服务，已上市，1000-9999人,万用表，手机硬件测试，电磁兼容测试，射频测试
实施测试工程师,8-10K,经验不限，本科,北京·海淀区·东小口,公租房，通讯补贴，带薪年假，加班补助，五险一金，定期体检，员工旅游，节日福利，年终奖，餐补，股票期权，交通补助，免费班车,天元特通,计算机软件，不需要融资，100-499人,无线通信，传输线路设计，shell及python脚本，通信基础知识
测试工程师/主管,5-10K·13薪,1-3年，大专,苏州·昆山市·玉山,,四维检测,检测/认证，100-499人,材料及可靠性
台架测试工程师,12-20K,3-5年，本科,上海·嘉定区·嘉定镇,住房补贴，全勤奖，年终奖，节日福利，定期体检，餐补，交通补助，五险一金，加班补助，带薪年假,储融检测,检测/认证，不需要融资，100-499人,Labview
FPGA硬件编程测试工程师,15-30K,3-5年，本科,北京·丰台区·长辛店,交通补助，五险一金，年终奖，带薪年假，全勤奖,融通航维,仪器仪表/工业自动化，未融资，20-99人,单片机开发，Verilog，VHDL，嵌入式技术，嵌入式硬件开发
化学测试工程师,5-8K·13薪,1-3年，大专,珠海·香洲区·横琴,员工旅游，免费班车，定期体检，交通补助，通讯补贴，带薪年假，加班补助，年终奖，补充医疗保险，餐补，五险一金,Intertek天祥集团,企业服务，已上市，1000-9999人,六险一金，周末双休，八小时工作制，加班费，带薪年假
初级渗透测试工程师,10-15K,1-3年，本科,北京·海淀区·紫竹桥,五险一金，年终奖，带薪年假,航天中诺科技,信息安全，0-20人,安全测试，Java，PHP，SQL，Linux，外网渗透，信息安全
系统集成测试工程师,18-35K·15薪,5-10年，本科,广州·天河区·岑村,节日福利，带薪年假，定期体检，年终奖，补充医疗保险，股票期权，餐补，五险一金，包吃,小鹏汽车,汽车生产，已上市，10000人以上,电控，汽车相关专业，CANoe/CANalyser
光电模组测试工程师,12-20K·14薪,1-3年，本科,深圳,带薪年假，免费午餐，包住，加班补助，年终奖，全勤奖，五险一金，包吃，住房补贴，培训完善,杰普特光电,智能硬件，已上市，1000-9999人,影像测试，updown 测试，图像测试
高级软件开发测试工程师,16-22K·13薪,5-10年，本科,深圳·福田区·福田保税区,团建聚餐，定期体检，节日福利，意外险，免费班车，五险一金，年终奖，员工旅游，带薪年假，补充医疗保险，法定节假日三薪,奥兰若科技,电子/半导体/集成电路，已上市,C#，上位机，开发，测试，自动化
食品理化测试工程师,6-8K,1-3年，本科,广州·黄埔区·科学城,五险一金，员工旅游，年终奖，定期体检，带薪年假，免费班车，节日福利，加班补助，餐补，补充医疗保险,SGS,其他行业，已上市，10000人以上,食品检测，理化实验
助理测试工程师（硬件）,6-8K,1年以内，大专,深圳,节日福利，补充医疗保险，带薪年假，全勤奖，年终奖，交通补助，员工旅游，定期体检，零食下午茶，五险一金,屹联智能,智能硬件，未融资，20-99人,万用表，整机测试，功能性测试，示波器，电脑硬件测试
整车控制标定测试工程师,20-21K·16薪,3-5年，本科,广州,补充医疗保险，法定节假日三薪，五险一金，员工旅游，通讯补贴，免费班车，交通补助，住房补贴，绩效奖金，全勤奖，定期体检，免费工装，带薪年假，节日福利，年终奖，企业年金，餐补，生日福利,广州汽车集团股份...,汽车生产，不需要融资，1000-9999人,inca，动力性，三高标定
系统性能测试工程师,30-60K,3-5年，本科,东莞·长安镇·长安新区,通讯补贴，股票期权，住房补贴，五险一金，零食下午茶，节日福利，提供住宿，餐补，餐补，全勤奖，免费班车，交通补助，员工旅游，带薪年假，定期体检,vivo,移动互联网，不需要融资，10000人以上,功能测试，性能测试，Java，Python，C++，计算机相关专业
BMS软件测试工程师,15-20K·13薪,1-3年，本科,宁波·北仑区·小港,带薪年假，年终奖，通讯补贴，定期体检，餐补，五险一金，节日福利,维科集团,新能源，已上市，1000-9999人,白盒测试
嵌入式软件开发与测试工程师,8-13K,1-3年，本科,合肥·包河区·马鞍山路,五险一金，年终奖，餐补,安徽科力德能源环...,电力/热力/燃气/水利，不需要融资，0-20人,嵌入式技术，驱动开发，嵌入式软件开发，UCOS，软件测试
高级硬件测试工程师,15-24K,5-10年，大专,深圳·南山区·科技园,加班补助，定期体检，年终奖，五险一金，夜班补助，零食下午茶，带薪年假，股票期权，绩效奖金，交通补助，员工旅游，餐补，节日福利，节假日福利,有品科技,互联网，C轮，100-499人,智能硬件类，硬件测试经验
EDA工具测试工程师（长沙）,10-15K·13薪,1-3年，本科,长沙·开福区·伍家岭,五险一金，节日福利，年终奖，补充医疗保险，带薪年假，零食下午茶，定期体检，股票期权,泛联新安,计算机软件，B轮，100-499人,FPGA，verilog，vhdl
智能驾驶测试工程师,15-20K,5-10年，本科,上海·嘉定区·安亭,员工旅游，节日福利，通讯补贴，免费班车，团建聚餐，餐补，五险一金，带薪年假，定期体检，加班补助，交通补助，法定节假日三薪,诚迈科技,移动互联网，已上市，1000-9999人,NOA，功能开发测试，linux
硬件产品测试工程师,4-8K·14薪,在校/应届，大专,西安·碑林区·西工大,,星磐电子,电子/半导体/集成电路，不需要融资，0-20人,机器人/无人机类，计算机相关经验，硬件测试经验
中高级测试工程师-性能(J10204),11-18K·15薪,3-5年，本科,厦门·集美区·灌口,五险一金，员工旅游，带薪年假，节日福利，年终奖，零食下午茶,星纵信息,通信/网络设备，未融资，500-999人,性能测试经验
高级硬件测试工程师,12-24K,5-10年，本科,深圳·南山区·西丽,带薪年假，零食下午茶，五险一金，通讯补贴，节日福利，团建聚餐，员工旅游，补充医疗保险，股票期权，定期体检,深圳纳欣科技有限公司,互联网，B轮，100-499人,功耗测试，示波器，万用表，逻辑分析仪，信号发生器
高级硬件测试工程师,14-28K·16薪,1-3年，本科,苏州·吴中区·永旺梦乐城,五险一金，生日福利，零食下午茶，节日福利，法定节假日三薪，高温补贴，定期体检，节假日加班费，有无线网，股票期权，宿舍有空调，团建聚餐，免费班车，年终奖，带薪年假，住房补贴，通讯补贴，交通补助，员工旅游,汇川技术,仪器仪表/工业自动化，已上市,信号测试，电源测试，整机测试，主板测试
电子装配测试工程师,8-10K·13薪,经验不限，大专,上海·宝山区·吴淞,年终奖，餐补，带薪年假，住房补贴，五险一金，交通补助,北京华宇兴泰,计算机服务，不需要融资，100-499人,单片机开发，万用表，示波器
测试工程师（初级） (MJ000034),4-7K·14薪,1-3年，大专,杭州·滨江区·长河,五险一金，带薪年假，定期体检，年终奖，餐补，全勤奖，员工旅游，节日福利，股票期权，运动俱乐部,旗捷,电子/半导体/集成电路，已上市，100-499人,万用表，示波器，功能性测试，可靠性测试
软件调试工程师,8-10K·14薪,1-3年，大专,杭州·滨江区·长河,,杭州博海亿嘉,计算机服务，天使轮，0-20人,实施
软件测试专员,4-5K,经验不限，学历不限,上海·浦东新区·陆家嘴,,上海辽哲,互联网，20-99人,web测试，server端测试，android测试
调试工程师,4-5K,1-3年，大专,成都·郫都区·高新西,交通补助，全勤奖，年终奖，带薪年假，节日福利，五险一金,安能捷电气,电力/热力/燃气/水利，未融资，20-99人,电气设备调试
APP测试工程师,3-6K,1-3年，大专,漳州·芗城区·新浦路,,鲸奇生物科技有限公司,日化，0-20人,软件测试，网络协议，网络交换技术，流媒体技术
EMC测试工程师,4-5K,经验不限，大专,深圳·宝安区·福永,通讯补贴，五险一金，带薪年假，员工旅游，年终奖，餐补，节日福利，全勤奖,亿通检测,电子/半导体/集成电路，未融资，20-99人,测试工程师
手机测试工程师,3-8K,1-3年，本科,武汉·江汉区·常青,加班补助，五险一金，住房补贴，交通补助,建优欣网,通信/网络设备，未融资，20-99人,测试工程师，手机测试，通信测试
开发测试工程师,13-21K·14薪,3-5年，本科,武汉·江夏区·光谷,通讯补贴，年假递增，餐补，员工旅游，补充医疗保险，股票期权，加班补助，带薪年假，定期体检，五险一金，节日福利，年终奖,绿盟科技,信息安全，已上市，1000-9999人,软件测试，Linux，功能测试，黑盒测试，大数据测试，Python
高级测试工程师（管理经验优先）,14-18K·13薪,5-10年，本科,武汉·洪山区·光谷,有无线网，定期体检，交通补助，补充医疗保险，年终奖，员工旅游，餐补，五险一金，带薪年假，零食下午茶，通讯补贴，生日福利，节日福利，团建聚餐，工龄奖,51CTO,互联网，C轮，500-999人,自动化测试，性能测试，功能测试，接口测试，web端测试
自动化测试工程师,7-12K,1-3年，本科,无锡·滨湖区,零食下午茶，定期体检，餐补，年终奖，五险一金，带薪年假，交通补助，节日福利，员工旅游,鲲鲸云,互联网，A轮，20-99人,测试，测试工程师，自动化测试，测试开发
高级测试工程师,12-24K·14薪,1-3年，本科,武汉·洪山区·光谷,,北京灵汐科技有限公司,电子/半导体/集成电路，100-499人,Python，Linux，自动化测试，性能测试，系统测试
高级测试工程师,15-22K·16薪,3-5年，本科,杭州·滨江区·长河,餐补，住房补贴，定期体检，年终奖，五险一金，零食下午茶，加班补助，带薪年假，节日福利，免费班车，补充医疗保险,网易杭州,互联网，已上市，10000人以上,测试工程师，自动化测试
高级测试工程师,15-30K·13薪,3-5年，本科,北京·朝阳区·广渠门,带薪年假，餐补，节日福利，交通补助,可之科技,数据服务，A轮，100-499人,测试，测试工程师，自动化测试
产品测试工程师,20-30K·13薪,3-5年，本科,上海·浦东新区·张江,定期体检，员工旅游，年终奖，节日福利，带薪年假，五险一金，加班餐，零食下午茶，股票期权,物骐微电子,电子/半导体/集成电路，C轮，100-499人,测试，测试工程师，自动化测试，蓝牙，音频
高级测试工程师（上海）,30-60K·15薪,3-5年，本科,上海·徐汇区·田林,体育活动，股票期权，定期体检，住房补贴，五险一金，节日福利，员工旅游，补充医疗保险，交通补助，通讯补贴，带薪年假，餐补，零食下午茶，年终奖,NewsBreak,移动互联网，C轮，100-499人,android测试，ios测试，server端测试，web测试，测试工程师
研发测试工程师,15-25K,经验不限，学历不限,苏州·苏州工业园区·跨塘,交通补助，定期体检，年终奖，零食下午茶，免费班车，五险一金，节日福利，带薪年假,上海高仙,智能硬件，C轮，1000-9999人,测试，测试工程师，性能测试
产品测试工程师,15-25K·15薪,3-5年，本科,成都·武侯区·新会展中心,节日福利，高业绩回报，定期体检，年终奖，高成长性职位，补充医疗保险，五险一金，股票期权，带薪年假,四川华鲲,智能硬件，不需要融资，500-999人,Java，Python，Shell，Linux，自动化测试，性能测试
高级测试工程师（嵌入式）,15-20K,3-5年，本科,上海·浦东新区·张江,年终奖，餐补，五险一金，加班补助，带薪年假，员工旅游，股票期权，定期体检，零食下午茶，节日福利,魔视智能,智能硬件，C轮，100-499人,软件测试，功能测试，测试开发
